
"October 8, 1997",Abu Nidal Organization (ANO),Middle East,Palestinian Territories,62 FR 52650
"October 8, 1997",Abu Sayyaf Group (ASG),Asia,Philippines,62 FR 52650
"October 8, 1997",Aum Shinrikyo,Asia,Japan,62 FR 52650
"October 8, 1997",Euskadi Ta Askatasuna (Basque Fatherland and Liberty) (ETA),Europe,"Spain, France",62 FR 52650
"October 8, 1997",Gama’a al-Islamiyya,"Africa, Middle East",Egypt,62 FR 52650
"October 8, 1997",Hamas (Islamic Resistance Movement),Middle East,Palestinian Territories,62 FR 52650
"October 8, 1997",Harakat ul-Mujahidin (HUM),Asia,Pakistan,62 FR 52650
"October 8, 1997",Hezbollah (Party of God),Middle East,Lebanon,62 FR 52650
"October 8, 1997",Kahane Chai,Middle East,Israel,62 FR 52650
"October 8, 1997",Kongra-Gel (formerly Kurdistan Workers' Party) (KGK),Middle East,"Turkey, Iraq, Iran, Syria","Formerly PKK, KADEK. 62 FR 52650."
"October 8, 1997",Liberation Tigers of Tamil Eelam (LTTE),Asia,Sri Lanka,62 FR 52650
"October 8, 1997",National Liberation Army (ELN),South America,Colombia,62 FR 52650
"October 8, 1997",Palestine Liberation Front (PLF),Middle East,Palestinian Territories,62 FR 52650
"October 8, 1997",Islamic Jihad Group,Middle East,Palestinian Territories,62 FR 52650
"October 8, 1997",Popular Front for the Liberation of Palestine (PFLP),Middle East,Palestinian Territories,62 FR 52650
"October 8, 1997",PFLP-General Command (PFLP-GC),Middle East,Palestinian Territories,62 FR 52650
"October 8, 1997",Revolutionary Armed Forces of Colombia (FARC),South America,Colombia,62 FR 52650
"October 8, 1997",Revolutionary People's Liberation Party/Front (DHKP/C),Europe,Turkey,62 FR 52650
"October 8, 1997","Shining Path (Sendero Luminoso, SL)",South America,Peru,62 FR 52650
"October 8, 1999",al-Qa’ida,Worldwide,"Afghanistan, Pakistan, Saudi Arabia",64 FR 55112
"September 25, 2000",Islamic Movement of Uzbekistan (IMU),Asia,"Uzbekistan, Afghanistan",
"May 16, 2001",Real Irish Republican Army (RIRA),Europe,"Ireland, United Kingdom",Associated with 32 County Sovereignty Movement (32CSM)
"December 26, 2001",Jaish-e-Mohammed (Army of Mohammed) (JEM),Asia,Pakistan,
"December 26, 2001",Lashkar-e Tayyiba (Army of the Righteous) (LET),Asia,Pakistan,
"March 27, 2002",Al-Aqsa Martyrs' Brigades,Middle East,Palestinian Territories,
"March 27, 2002",Asbat an-Ansar,Middle East,Lebanon,
"March 27, 2002",al-Qa’ida in the Islamic Maghreb,"Africa, Middle East","Algeria, Mali, Niger",(formerly GSPC)
"August 9, 2002",Communist Party of the Philippines/New People's Army (CPP/NPA),Asia,Philippines,
"October 23, 2002",Jemaah Islamiya organization (JI),Asia,Indonesia,"Also in Brunei, Malaysia, Thailand, Philippines, Singapore"
"January 30, 2003",Lashkar i Jhangvi,Asia,Pakistan
"March 22, 2004",Al-Qaeda Kurdish Battalions,Middle East,Iraq,Formerly Ansar al-Islam
"July 13, 2004",Continuity Irish Republican Army (CIRA),Europe,"Ireland, United Kingdom",
"December 17, 2004",Islamic State of Iraq and the Levant (formerly Al-Qaeda in Iraq aka Tanzim Qa'idat al-Jihad fi Bilad al-Rafidayn (QJBR)),Worldwide,Iraq Syria Libya Nigeria,"Formerly Jama'at al-Tawhid wa'al-Jihad, JTJ, al-Zarqawi Network. Al-Nusra Front is considered an alias of Al-Qaeda in Iraq[8]"
"June 17, 2005",Islamic Jihad Union (IJU),Asia,Uzbekistan,
"March 5, 2008",Harkat-ul-Jihad al-Islami (HUJI-B),Asia,Bangladesh,
"March 18, 2008",Al-Shabaab,Africa,Somalia,
"May 18, 2009",Revolutionary Struggle,Europe,Greece,
"July 2, 2009",Kata'ib Hezbollah,Middle East,Iraq,
"January 19, 2010",al-Qa'ida in the Arabian Peninsula (AQAP),Middle East,Saudi Arabia,
"August 6, 2010",Harkat-ul-Jihad al-Islami (HUJI),Asia,Bangladesh,
"September 1, 2010",Tehrik-i-Taliban (TTP),Asia,Pakistan,
"November 4, 2010","Jundallah (People's Resistance Movement of Iran, or PRMI) (Iran)[9]",Asia,Iran,
"May 23, 2011",Army of Islam (Palestinian)[10],Middle East,Palestinian Territories,
"September 19, 2011",Indian Mujahideen (IM) (India)[11],Asia,India,
"September 19, 2011",Jamaah Ansharut Tauhid (JAT),Asia,Indonesia,
"May 30, 2012",Abdullah Azzam Brigades,Middle East,Iraq,
"September 19, 2012",Haqqani network[12],Asia,Afghanistan,
"March 22, 2013",Ansar Dine[13],Africa,Mali,
"November 14, 2013",Boko Haram[14],Africa,Nigeria,
"November 14, 2013",Ansaru[15],Africa,Nigeria,
"December 19, 2013",al-Mulathamun Brigade[15],Africa,Algeria,
"January 13, 2014",Ansar al-Shari'a in Benghazi[15],Africa,Libya,
"January 13, 2014",Ansar al-Shari'a in Darnah[15],Africa,Libya,
"January 13, 2014",Ansar al-Shari'a in Tunisia[15],Africa,Tunisia,
"April 10, 2014",Ansar Bayt al-Maqdis[16],"Africa, Middle East",Egypt,"Also known as ISIL Sinai Province, ISIL SP [17]"
"May 15, 2014",Al-Nusra Front,Middle East,Syria,
"August 20, 2014",Mujahideen Shura Council in the Environs of Jerusalem,"Africa, Middle East",Egypt,
"September 30, 2015",Jaysh Rijal al-Tariq al Naqshabandi (JRTN),Middle East,Iraq,
"January 14, 2016",ISIL Khorasan,Asia,Afghanistan,
"May 19, 2016",ISIL Libya,Africa,Libya,
"June 30, 2016",Al-Qa’ida in the Indian Subcontinent,Asia,India,
